id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
PWLkVJOUm1X_4lc3AWTTYM5_vOqMLGzqmdyqmCJj-h_WvO6JF1ekH5kn6A,UGRbNHF3QDaucIziZFKiO_JF2dPbS_0cmQ1T1NSTxA8oGCjV2RyXTm__,GEmkZ_whbI4KD-tcMgrDkzbnuZXjjLu9sejTh0msUTxqB7dViqX-0XlXhahXgBRkZeRvGN0CGHe6CA,,16,1711463945593,73
svxn4p-7qpw97_rGYV3rmS5_KHKzKAFRBfHlXAYc4tF6F4U,rD3qR5Y1iwc1TI_5MYXYuf2wiynV8FWM-oOIv-vbALyMxPg,DJgVikXfdazRxcM2wLl86aBSTt6qGw1bVUpZXZHrn53lq4B2WC8Kfo_pwJTXe6EtpSsr1k_9Yay8Dg,Dekap,6503,1711419863728,1020
GCqbHtaQhwhTwwkF6sJfgBCNrubvbVNTHcrE2NnsbtUGZyw,HNjufeNwGCRXB70XTyb3p_rPo-3hJMQq64X7v6TwcaDlit0,nHtd3ZxnZbnZrclE-xNpTDsvRlbYU7kpvlO8GLOl70kjfJ_1mZUMvGdSPEDsePQFOdwqp4OhRLnt_w,sussy topIaner,5959,1711396009000,724
S6BVvOvMsmOWOvlDwFPg6XhX1ix2z2neIDgLNv_nvD05sNo,JzGC2ylpfaRt8f2XKq2hU9xp4KcGARdo4T7pvmTN84nOoA,seGvJRu-AiLMNUugzuCY7n4rdt0Wv3skQ_QdrytZ9Fou_l6KPzucOrqVsfo9oyrdiQUVyqeEqBiXfA,Bollito de Cacao,29,1711452475062,697
IbKV2sQ3Amf_WxPjpGNEIC7wihvO2x6L9TVgp-qpLXRK9vk,3uhbNmtM_uGc5RYoKU84JjXcsNbLZzwZbqQPdp0VDsrZwS4,bHfvr_OHTZX2EIRkP5vO8PXafqLfu1zULYMEVZoXLfCxbcji6Fjj2zSeo8PiCI6H0Mf3KAZdaDsenQ,dog Iover,1121,1711473418446,307
PtgQGUfWXn1JN8Nq_HgxrHK6fGXAcErDf0OGAw1q8tglV8s,GUywE5c_f-YxQYnDxqxL_rwWHaRxYz1J_rbhprc-Ameemqk,-4sS3FKyQBSWng4gdCNTlL9xtPIUsTWkZcpFE6OjY__gvNm0aSvqgkg0r5Ns8JS8ph1AwSKIMCQprg,Legendary Bow,5645,1711135843000,135
SV0cSdehW3gcb0zXQs6TcSna3Gxif0cbATGOnILl3TwfrIfXoUlJ0s2TcA,5skt9eTwWBQZh4jlQjwhPKdwTWPFRwA-OISlXUcYkgJurY6XvSXIRYtF,TzHpl9zJ_DhkjTBK4GbAY0kdU1Sb9ajc93txamJUBm_QoGMg74wiZp8rA3ZxIfw0sfJ8mYgnoPCo2g,Αετινοθ,22,1711057137000,261
iWHcToPltKtf_Rv42GIsPbjhDf_R4lJyeAnxP_RjlkYnjwY,rGRyp595mr1DU_q1MOSE_hQpRxrBgxsNmlSCQYLDJPpLWg,1-HcV9CgUbZnWyRU6U4zP1eRhsaVOxcHrBMFDZk-H1ztqahWJzxR0rg4sHIq3AMKUz45iduQzYc2tQ,h1gh society,5922,1711432770753,367
7qSKatX6oU0YwX0SlkxHD37mLWlLrs1gWn7vqHyhM0Z1N6pbx6xbEU1vsQ,pHxW9lOvly0crmvNmQ2cikSJIBDqyZP1L7Sk5aJwcXWq7RxYB6N8iEs7,jmj_Q42Q-2_YadaoRXu6vfEPneAq1b_kHerKwgcS-ssiN3nr6Gdz42NEKBqjxnMq_tVY89qdPnkUSQ,al Asad,23,1711464538919,138
DcSHD36WBivD5J8ztaBklhdvdA7RJHpa9RFKWs_n8kGtVVLz,2EY6M_gLpZWi8Zd_uf7wmLgEhJpxXu5emgc5AAGAmHS0kZw,J2F3_Y03qVUHKdg8YpxVO4nNyqqFvviYzJrp094V87O3mNsL5WOhJofcIKAABM5V4blGpAcc6zRTeg,Go Ha Go Ha,1455,1711487683981,669
MI0buypp0UNTekE3DlFU0muuejNku--Js8N1O9qUXy5BRtv5,M85GxZ53tN1o7lmnZl_VJapDUdTtdPAMhD17qE-7WTmbaGm0FRyCLrZA,nayus0toItM3EDCjsLfeeKLuH0QMLVW1Ab86BNUxSYy8tgD9wc4MgkvuFKJUjw3a7IZREgo47N6-hQ,see you later eu,6500,1711479150586,385
zBCoCocRcpAF_JINF2vyvClNzWj4-at1nfH9Slckzl-fYnw,4TiV4u5fhQ8g1a43zHGfhs59OCeZCFE0piGpoudvNLcupqk,AtZIlSTqohIAsXYzE6wyK6yliOuSQUTS_6bX2GgO8D6p06hgH_rKlOfk8Poo0jMTFHdb3U4k7cyINQ,JANGOOOO,4025,1711484095332,1005
P47AZTvpwTchbnbxwQM6xyzcFzlUXCFZOhlgZlQPp6fK86c,f-JjxcKIodr3hcIWY9lQEjSKXOSgdd1LGzFvMu6e6CYtuCM,vvErisN7Vn4KcYLGgmaiWXTzVdIwRjIvTtZVImPx17DB5X6L3dE1bAan3hYPv5QBjZzDpGaMLjOhNg,agrsv,14,1711136483000,384
m1tTghwu0kF8sF6IfksS2SjUzlTWDHnUXKx6IZIbRUDj3EI,XYkpwDHS8oIYTQdd3qmdO8dccEiIG-w2d8wVU16lJ0lMi3s,31H0PR45sTFz1sJ3ClBCsro9CxXv9CXagCUA3yz1tCd3tHKk05EpovfEZ42Xn603eyf7bf0gaWSFGQ,Pun1sher Reborn,6282,1711480714220,712
7pGzQJb70k03THx8QrNpbTiRL4b-vqtBAeyeaES5k2EvVrQ,P-a3egrmqg4OTqHzdL5tnA43jQpEZvEgCbMLdJtnNKbow2s,ePg40CGOg_LM6c9j66x7Jy_PtLFQ5DpAH0JHKiUt44VeOs5cKFmkq7EjPambp-DikfwMXJxIGyoFWQ,Theocacs,29,1711483760238,683
E2IXhPlSvDrcmx2KkCgWm-UzdMhE0djzevQFxdZU_IrjhMfRs-USkRFT-A,uWjnnOek8-WII1ObahFQNkEdiyVleDQRs37vLrfcrAU9ryGHvnzQly5k,JzUPf-pZMmMz1km6CfqVRxPV9dRusK_YJOrkHh3BUiSUgLqDFSOf8W9CW7FzAwVVyxAGI54BR6biWg,XyIIow,6060,1711148228000,535
utLjO8Y1L90vG75x5NAUiNfr4fvkJmrY1Y5_dKYasbb9TW1pH5rgkcXxCQ,MKYP8q_FagOSh3_im2RzBnYaJ9QMSdOivc5m4yZlElC93y6v2bVRGbO-,twVvbypwfoITiD8PBC8vXc7F3Wsej0vos6y5H3x8kbsJeRv0r8pI9HsUQ3Q2quLM_r8qoig58pT02g,GrompulusKevinº,6386,1711318134000,149
cuLkSBMtWE4PmSYzae3Hs84JFiL07-397U9fhhc1G-SwYZzZDcxaRLTA6A,MmqhLN5BH9kihd5CJJ4tFWcRPBZyAyn9DRK71id9NerBT5AE3oStQcZl,lsuXDeZqC1-OziZ5bU72ZSLfuM34uPSL4wyz3tt5Ft8m21Qhe7dOhZeEz_P5Xqc5LrCYXEB_xiGEYQ,Froid Glacial ,907,1711405918063,57
lmhYnZ-3O7ntmUO8wenl4c_M10_usQLbPiXHWb8AmcGeLAX9GJ3nPAd9CQ,apEia8L6qBX4IaZ9azynhB-FeNxffo7Ly1gMkKghh_vJ0A9V06L3OB0g,d5r6CfbpzYn8tHqMfcMkCHcoyoX79MirzVCcTEundeS2rLDVY6j56tB53TLGpidx97rlmkxm2y7eGw,,6556,1711481022984,94
xG5JvMawb3MGojazZhPxfcUFQZRfZK36xboB6jldpTSBy9V-1KRYozf8Tg,v9q90GEgbv2RthhDpF9x7aqnS3uEQvhNmAN5FO8kYgugs2gRodHll_kq,yapX1nQCjOCQJr1FACT4zEpxTVcnsxvXsgjZJOt6Uf2Jf54zKYXAdxjZt0URFZDFcLMG6MqfKXZg_g,23123412,6498,1711327379000,62
o-xUvGhqikMkaX-UAOR3Wg85G50bDdQI4cjf6tM2bEYbdWE,H-xHvHuLVEScRj-LFPM_azR74vWs1iuSwNQG4fdMyMyhAg,7oAsukm5cHGUlGcEBC6TdcWbOQMcLPf3Ry5IcJb6YZzSqyto0o3c-N2L5msVh4jFmklUP8HoxNp0Ag,TPAA Ruben,4532,1711486965636,809
8-8CCGecjIU8GES-9ZayJFNgWeytDw_CxsrkhT5_bEcy_5g,FdJ5adQb20xkRmCl6WCvS58Xh55gGAafRYVL1kjjV7Jbjg,v3Rm0UCqjngN2mL3Tpr1g4YFqI_fQQO070xsnGIaKv15UP-WAdlbWhx2-RPFA7dPx506jv7gVQjWKA,Viegoless Didi,589,1711401519064,497
F7ONbabHFOMqV6yLFBt4JQVTogoD-7DsexlaMS3ImI9buhMg,CpovzlObvnX1VOw-vHWN4YGbD8VPW3ChK0W5pq_FMgC_dCkOBdR5MoPX,cOIylNtbMzKjFFJvlBy5UFRxCqcUvP9fP79ZKz9pTYzauDWrFo7Zfb02gYXqCDc8X-1iYvAobMErLQ,Vattghern,657,1711466778963,425
i4OPVA5SOHEJrxbN9asDPSgAhN1fObhcwuIcLpK1BaOJwm-s,kJeHO4GcngYWDkOSgNYjiIzjuQ4yLpfbu0pyxEJQNfAhYTxfSljBIBH0,yfTgQ_QJbMgoz8aSpfsDGQ5dU1VNonnyqFQ55yNe61HlfreXWLQWLz07sZ-wwHx5qAiObE74Ecrbmw,FimbuIvetr,6296,1711481228116,147
tQ2n15STzm7QwkZMZM-tpcKj3uwTYfwsMjj1kuUNKeru0uo,M23lFxyEV8YndI13CYCdQNPBWhrGTOKiGcaP3kP5kOY4KSs,t1GrmtioXlYsXU2ylNw53yxeBgp2xCl9lSPBy5RZ_BFyiPwdAlW-GMmClAqQA0x_Ik9QG7c790ogTw,Heybiblee,1419,1711444093704,337
qh5RPeV3RlXQ-b4gRQ4klR6hgjQaPsInQa9x3wUrI8Yml4Ry,66M0ShUVd2vPE-SxcsuAxFH4A8wtwek7PCTD8Lo-PTK80I0CDQIXP44W,KF0T5Ru64Cvr_7mQCkBbI-J2Fbw3AXilF9Ry-t5Klk6lGJ8PAEe8OmygEH3UzdvCpfvwpWriL4lvjw,SMRADOCH ESKO,3867,1711466220183,673
uZSVsyk9c6nfalaJXX0Va7nQzBDY0E0ov1xigcT1M8dckgKY,U1NVdoMnRSZHMA3iBJxO9N2nDbdCi3QMHF0FeVFKIUfB2dI6O-rBCXc8,fpFpAjXD8EayKVBhu_cwNOSpn8AKYbw95rkgK7JP1hhNyyxLUUcjkFKmEiS7txxH7X-VUtxmbowLFA,chenzelot,5959,1711136318000,490
WCIYU0OhKnVzowzZ94Djts2WRqqjwV9fAvcp5HR_0TOHKBQ,BOXXWfidYllFqmvpBgFwCVWwD-wUFida4kVgxsQiBs9OPg,3pRZ74323B9Y0jT2bG_-YkwSU1DQgBtA3fkw8lz_argT72V6KlItbnTwtGTbFdvYd2-XWVXQyIprIQ,Alan234,4636,1710361515000,501
c_Ml-nqL6k8q2Oc7qMSrDs_RxNTFxRLPg8QdFJTdHVsqR_y6iuPfKWVBkg,GF3aFcb0zQ4T-t69AXuVVStHzuZUAWrq7x21Cw-FLV0SHIK1SsKtb-h3,K8dNKGOZYsHmJY0e4Kbj1moeh6lEsQENPtjVSUhEiKqpgb3W2mPpcrtbeasMLSf-w7NL1WIXcgLeFg,Chowlee,1231,1711302120000,131
VzJR1h9I1Wn_OPUQ-6iXx-FhUaARV5Bb2jAqDr7YEYsi1FFrJ6cQKg_Q9w,B6rNIBzijZ2O9_ldzwB6gDArSR63RqQQk4I8h3CgVyWHY04KwdfWTf4C,VF2UN9WEEJdfksAVk8XPfyTDxJgcl5I7Bnw-P2xHnXRPERF2fgqgQgsM1-6dK5yhIM7lvsLL_ZWCKg,Ha Seok jin ,6541,1711487772831,241
2yXiD4_mq2ywyjIR4M5y0JY2oKhuULtK4M64axSRLcGpjWz4,F2Wly9IsNJWmMAEzRGl5ru31pRJTlqgeq8vDFa_4PM6fmsl7Pht4L7Pn,xfjKw2L96UWG4CvH3Uk7CPI9t-WVBPSTyDzA3ku5NYPomXrDcENI7eM_pl5GliXxWIt7g5Wju8raUA,Cybernetic Dream,6334,1711397535000,582
W4ycq2LGbaXoEkGSAuByFuO5rkMKnTHX-9SgiE28pKCP68I,jeLj9JyZNTa5X6aBJ6B3_ZI2ZCbZsGe3T4nREVuxpxl1ww,HJEZaXij20jszLhNFJwDW9GiWmaTEXgdbzX0iqY9M1gQX9frkPjo2blBBQ9QDddVcYfepXZ8Cxiv7g,Evaaan,539,1711418021730,1368
IA9jNo5nxZ4cBOyHb0CaPBYHfpEzqz_8qKCg0TJGnpHcUdc,9VcWitQO792sYSYSYxg5Zr2BVzjJoZD-hrL14QIcxUxumw,yOmICWSLGgoaJgwI7hsYQyU_jNHUboLvdV2CXOOUhc1ErSHvD7UvIamiBivJDPAYUZIIBqwsKR_Pgw,Season 3 Chall,1665,1711410753089,334
vCckDc7g1dhjbFxwcECg68mvYWbgRbKeiB9wFPAlF4tyYPGF,3l-XGSBXpD6msloExSw3kX3FcV05ny6KQrLvGO6JMvpG-s401nAYn5r1,1deucIfHqji0QCmEpeegdArW9O00aFoKZnCF-J15YFnsXaNX9YHUC5XCrJGmQTVMaucO24yuNtprXQ,Skillshot Lander,7,1711486809317,314
eywaLafGjULTjvnPucHi7y-wLfPOvVWqt8ff_jRDHzm7484,dA5oDmyJCVwoL3U4-mbz_5vxXX3QZtsdcrmQYnC_0H_wMbU,f_hhSDpDVPjlqRTVIW8WbfDyTfxoGLVdBlOC0-kabAT1xE_luE8K_3lrElILWNE70Lcb6aezw7Qk7A,nozkk,4793,1711393110000,634
CxI6KaAOT2ScpSqzhu8hFEYMDlaO3Ev4HVvWbSypRpUUuq98j3k0dTMunA,GlykZWAAqSZ1MvbkiZf4bvxlWWNjykp34oPkXL8-DbHJIcnjxxKwPDRI,9_bAA_4UqxkZ-LANvx5-TMN6u7Y-lmj60ovt9oPYbE9iE0KUtRCm4j4yVfVY3BHQN8QDBL7zFHz6EA,,6,1711417500400,73
hjlK9D_nmvRFM9zGD38au-ectOG2_sD0ABCuYzBmWfUzjWYQa5bUS2y6gA,hnTEu5_tMjHgfzIiqyB_UnitllH5u2NiSVlenziwnZS9Ze1SqDORgeNC,fFI8KzFwuSOVJWvkFmW1YXTvjUM5gXaK7LaHMAF44SC_GZ1bqnHWOO4tmWg68t-qQ4W_2MsetjGAMQ,ShyCarry1,25,1711444957915,147
fJqcQpFB1bMmkN5M-hQh_QHgbvOwUJ5e0JK7dhXXUUyTytg,RoIvqLCPQHzkfqqkCejDyFtWI6Y5vc7tCPDUBdoPvyX6mME,RuxJWDTWQhTqDabZDM2Liy61XhrI26xxwWmQDkKW8KYyK-XkI92RS6v56Fu6zSNOyzZP-1hkhUPfUA,Peak Level,6436,1711470750905,643
5GXYGMoqzHplbli__1Uvn9LXdkouYn6rtCpXZ8OFOfRiZlLY,Jo3TAK_bR5j6EnvU4FDUbW3cI0fSvJnPrQMBvXU7-3nH_6o,VVgO7BPju0QnrWV2pLbdnk04CtgzrPl17PQ78eaX4-0ovmc5kYEf6yulAG9GywEd7R4M3dYQvXDtHw,SeRiN1,6315,1711486512459,1218
9ihSOdyVg5l-oY41AicsGJxbrrZ0txdKzWi_wgFZhdi_v9s,puurjS_iOaWi5XadUiRa_pNLrhtiLxfBOy6jFozo0X2Kcw,DG2FkblhxePfDI1q6jwduzl3ZiUUomz04g2xzZIm843H47jCemGwFcPIEUv1i3RSg6Wdv6Ric59Avw,Captain AmerEika,4834,1711480348931,859
Eti-BFXBB8uo6CJQgv7De1Nwd_lbNis90XElqdURshL-pu4,5BzO2eQyD4U22x9wA-JA8bTzs38_kVuSrs13UfIazvthuw0,DSgkK_c8bi8duH9sLqY4yGRpXolqo1vMQqHBc5knVNbxs5pb0aQ0_i13srbZ2guPPa9Oxxa3dPcOuQ,Krüppi,6233,1711312629000,1002
whgZWm8wtSuj9iqhAESUClG75YPiKM7TF_B7XQND2Fhrr0vj,fCfWf8zZSE5ingfKQplWBSyaStWe47pNPlb_qppYj8WwYfpHA9UnfQaB,liQQ2GQK4DzXLteA02JPPGKpQjzb5CgnSd47bQQPOz0gNE_INUbxtUZyTaKKxYjNpRes9ySkUHFhBw,mdb1,4375,1711452320895,1253
UQRC_sy8DxfDKvM3eG_-DcDejJCW1bZFuWs3liKy6BjDkzI,j24rpWXF060loC9m35lWEpZ1-9Wahy0DFB1zZWfKuy8DL0U,Mo5xOLNdOz1Hq7eqBxC1akDXj0K43NC1Rzu1xhLVdzBs8LrlEYTsujht7467ewU6Mbb3-N3NZ9WHqw,Envy Carry,4655,1711463546626,1386
qC4feq29rhMXT4EMEuYwRlwcjIVccejAB1Iludt8kD7QKXlM,RaxxndJQJC-H6I6ZRursmzV6sJpmohmEHY2uBoFi9Oag9Khb5olrp11O,OBA34h1KZzYYatpKPLAsprI0kHNzo6WI0EEyJwuMnietJLImIyTfiYkCN5dxO_Qhk8u50yCu2t8N-g,Drali ex machina,6578,1711487562000,201
y4-ASPkPf7xPaIW9g1rpmzdKNwzZ0WwhONMbPm18K-cpHVI,9yCloU7hoI67SbxZCm2GvDgkaD1ggLGlWUv9WblpRuBWQQ,Au74XSLBpKCO9DdtcEK7hSCzpB5lYl3IIkn6qPHnvnWycQWxunUXPaCH9M_40otLnjHFi0eB9mMNBQ,Daksider,9,1711455461469,690
3GPZeG1FKhcGyWUGHr80Pep9y7Z4RMnRLs5kgaJXbJ4Nk8_Y,72-n3hX9lt9ab53VnwtJDouurwloaZFxmIdelj2Zu0z5Xh1GG2qEBYGX,FamUXwTU9G1-edfmzGGS2-XiPgkc_SpUT_Ypr-b0Ahff46f-ZWF-Rs-HOHyJuG9PCtKLahdD9bXptA,SIXTY5,5875,1711487822065,114
OqdQA5-jXYyUBowGCZTeWGcAeQmhQDUTsu53VelNpDLcXWIN,xgt6i5JBHcyJjYohgJ1OS6l5f4vowCLRDT4ucb6ELaT4y-Vx6vjqVxdf,08j-S1os3t1hqFcfBsaFO2cgU3KlnkxBXAX0BUkcQ8E9lGLr0NWFPNR8yzZBGf2JWJpjcfpOU9wsPA,Thørs Snorresson,6314,1711197698000,314
4SalMNnU6TSlAFAje8fStxnNhrru8QUObeDK9B94s7Cxhgc,8XhyA4kjyXOD5sFBSFJMmboVn1KuHy64PEOENTFBm6F92IE,UPZxk-bSiZ_n9G-eergAqd89QIvlzM3eTcnWlHzGbit2OfXfdBLUkm4R4I0ZDZxOI3m-9HqfgcVpSg,Classy Femboy,4534,1711487081376,290
PJxiMQyRVrzm9bLkf51gkyIVURbnNYtJw5suPDuXAuc6np7Inl9ZGEAe1Q,vlpSVOLW6rQywnVnI27_KvQ-HMILMBDrV2CxR3aZypfzmxAOJlPt60xa,rnBW5CTW-UxZuwQg95aBPFTUbhl838XqMR3ogbamtJ9zu_fNQsqhARCqOAV7ayjMsoHYtXJIWqL_eg,Carnagε,3008,1711472053167,910
lhyvu4UhUOZMwwj6J1A83sYFjdnrIqUwhx7NKIB6bPnkJsAhDKzbRTAJRQ,Lj7nFVlnyqy13lIkqUrjhln25-10d3buODfLQpjiYCeOL9PocWtfR3ZS,x_0MLN8LkReQe4osq3QHRBdUwxCUpSkjaCw7aNOsiTE6nyiuEAmUqNqlhjku6f_-pWPO8TfSU-UVuA,filip nguyen,5091,1711482635030,120
7wNkaxhQJ7RvOhHwRR65y7pLHOCBevcR2de8o8XlhVWyZIOs,0bQKhc1xGKhLbHRUoFf5yIFl8FD_nE0XxdINI2VK_4jPwVc,tAVLU33k5bgHy0BwsvnZ8j_lFKgOKWfguSfNYy8FP232z7R084k3NoFwpOH5GcsRxiiNBvkGIvaHfQ,Sertuss,25,1711453186133,435
BXlVsO2tPFh3vq2SBGipf_qKLF-vz2aKH6T02rE-4ZtjBLU,Z3ukksX6gm1wRuTRBC42zwQ2YY07PWdflO9a10mdtI2Aryo,KNT1yCaE4MWJMYphwfWRi17w9wNYMCY-jkMVcoZvnBXAvKoAdtl6FotnXT7jcuD9CrEVlckHwPZexQ,Decay0,6274,1711470271791,1233
3Yk89ixFiAkZs-iBtw3nxNXAZv-tP-hli2Gorj_8t7-zTCQ,KvaYfkKQA1lfUm02pdqrNshT2KXEvBCHlYwOoW9xDhVw15o,eLDnlfa2KD680XEx4AkFWJeMaoyZ2_zpXPw_dbIPThkkGQIgKyRPmvVamndStlvl0HdKslt2UPm69A,człowiek z gazu,6050,1711210236000,1297
